#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
      74	 	NGC4321   	185.72888	+15.82230	312.7	  -5.9	 0.229	 9.026	 0.001	 9.466	 0.001	 3.147	 3.361	-21.988	-21.547	10.931	 15.950	 2.468	 4.1	 0.3	 1574.7	 2.9	S4G	Simbad	NED	LEDA
      75	 	NGC4324   	185.77577	+05.25036	100.3	  55.0	 0.550	11.156	 0.001	11.647	 0.001	 3.719	 3.733	-21.344	-20.854	10.710	 31.633	 3.197	-0.9	 1.2	 1661.8	 5.1	S4G	Simbad	NED	LEDA
      76	 	NGC4330   	185.82167	+11.36827	174.6	  56.9	 0.834	12.057	 0.001	12.473	 0.001	 3.347	 3.273	-19.491	-19.075	 9.914	 20.400	 0.604	 6.1	 0.6	 1566.0	 6.7	S4G	Simbad	NED	LEDA
      77	 	NGC4331   	185.64870	+76.17220	 81.7	  -0.8	 0.772	14.220	 0.019	14.620	 0.004	 2.891	 2.854	-17.905	-17.504	 9.268	 26.600	      	 9.9	 0.5	 1573.2	 6.6	S4G	Simbad	NED	LEDA
      78	 	NGC4336   	185.87435	+19.42692	 79.9	 -13.5	 0.385	12.521	 0.001	12.969	 0.001	 3.110	 3.169	-18.529	-18.080	 9.553	       	      	-0.1	 0.5	 1002.0	 7.9	S4G	Simbad	NED	LEDA
      79	 	NGC4343   	185.91121	+06.95405	 77.8	 -53.5	 0.222	11.559	 0.001	12.031	 0.001	 5.235	 4.374	-20.651	-20.178	10.420	 27.657	 3.443	 3.0	 0.6	 1012.6	 4.4	S4G	Simbad	NED	LEDA
      80	 	NGC4344   	185.90605	+17.54093	 65.7	  60.4	 0.160	12.700	 0.003	13.146	 0.001	 3.166	 3.086	-18.537	-18.091	 9.554	       	      	-2.1	 0.6	 1146.5	 7.1	S4G	Simbad	NED	LEDA
      81	A	NGC4346   	185.86656	+46.99379	119.8	 -79.5	 0.532	10.893	 0.001	11.399	 0.001	 5.783	 4.695	-20.080	-19.573	10.216	 15.650	 1.909	-2.0	 0.4	       	    	S4G	Simbad	NED	LEDA
      82	 	NGC4348   	185.97469	-03.44280	 87.3	  38.7	 0.504	11.431	 0.001	11.851	 0.001	 3.227	 3.167	-21.144	-20.723	10.579	 32.723	 4.113	 4.1	 0.6	 2008.7	 4.4	S4G	Simbad	NED	LEDA
      83	 	NGC4351   	186.00639	+12.20490	 98.0	  60.6	 0.325	12.572	 0.001	13.109	 0.001	 3.477	 3.446	-19.649	-19.113	10.066	 27.817	 7.623	 2.5	 1.2	 2319.7	 4.3	S4G	Simbad	NED	LEDA
      84	 	NGC4353   	186.00116	+07.78522	 42.7	  66.1	 0.265	13.377	 0.007	13.847	 0.001	 2.228	 2.223	-18.905	-18.435	 9.720	 28.600	      	 9.9	 0.5	 1120.9	 7.3	S4G	Simbad	NED	LEDA
      85	 	NGC4355   	186.72764	-00.87767	 59.5	  62.9	 0.489	12.713	 0.001	12.578	 0.001	 5.668	 4.550	-19.306	-19.442	 9.432	 25.350	 4.856	 1.1	 0.5	 2179.0	 9.4	S4G	Simbad	NED	LEDA
      86	 	NGC4356   	186.06000	+08.53580	123.6	  39.0	 0.723	12.227	 0.002	12.707	 0.001	 3.122	 3.119	-20.068	-19.588	10.192	 28.775	 0.984	 5.8	 0.5	 1132.0	 7.6	S4G	Simbad	NED	LEDA
      87	 	UGC00132  	003.50317	+12.96380	 59.7	  15.1	 0.658	14.585	 0.001	15.009	 0.001	 2.790	 2.782	-17.335	-16.911	 9.058	       	      	 7.9	 0.5	 1679.0	10.5	S4G	Simbad	NED	LEDA
      88	 	UGC00156  	004.19997	+12.35026	 71.2	  -2.8	 0.518	14.176	 0.001	14.564	 0.055	 2.706	 2.722	-16.831	-16.443	 8.829	 15.900	      	 9.8	 1.0	 1134.7	 4.6	S4G	Simbad	NED	LEDA
      89	 	UGC00191  	005.02088	+10.87959	 62.2	 -32.1	 0.361	14.194	 0.001	14.577	 0.001	 3.052	 2.965	-16.813	-16.430	 8.818	 15.900	      	 8.6	 0.9	 1143.5	 3.8	S4G	Simbad	NED	LEDA
      90	 	UGC00260  	006.76214	+11.58380	 99.4	  25.4	 0.776	12.767	 0.001	13.137	 0.001	 3.224	 3.158	-19.777	-19.407	 9.995	 32.275	 2.278	 5.8	 0.5	 2133.5	 3.5	S4G	Simbad	NED	LEDA
      91	 	UGC00290  	007.28488	+15.89907	 43.0	 -47.3	 0.787	16.412	 0.005	16.960	 0.008	 2.734	 2.707	-13.349	-12.801	 7.556	  8.960	 0.159	 9.5	 1.0	  764.7	 4.0	S4G	Simbad	NED	LEDA
      92	 	UGC00313  	007.85842	+06.20682	 38.0	  16.1	 0.389	13.976	 0.004	14.381	 0.001	 2.458	 2.528	-18.363	-17.958	 9.455	       	      	 4.3	 2.1	 2085.0	 7.2	S4G	Simbad	NED	LEDA
      93	 	UGC00320  	008.12872	+02.57464	 40.1	  -9.6	 0.799	15.949	 0.001	16.423	 0.022	 2.896	 2.898	-17.106	-16.632	 9.003	 40.833	 4.697	 6.1	 0.6	 2374.0	 7.8	S4G	Simbad	NED	LEDA
      94	 	UGC00477  	011.55463	+19.48989	 96.0	 -14.8	 0.804	14.328	 0.002	14.772	 0.004	 3.373	 3.237	-18.441	-17.997	 9.515	 35.800	 0.424	 7.9	 0.9	 2647.9	 4.7	S4G	Simbad	NED	LEDA
      95	 	UGC00634  	015.35349	+07.62546	 53.7	  32.1	 0.509	15.008	 0.005	15.426	 0.015	 2.956	 2.896	-17.282	-16.863	 9.033	 28.700	      	 8.8	 0.5	 2212.3	 3.6	S4G	Simbad	NED	LEDA
      96	 	UGC00711  	017.15476	+01.64096	 86.8	 -62.7	 0.789	14.335	 0.002	14.905	 0.053	 2.871	 2.838	-17.626	-17.056	 9.282	 24.673	 5.465	 6.5	 0.7	 1977.7	 4.2	S4G	Simbad	NED	LEDA
      97	 	UGC00866  	020.02849	-00.20546	 41.8	  58.9	 0.663	15.343	 0.001	15.850	 0.005	 2.572	 2.574	-16.749	-16.242	 8.885	 26.200	 0.283	 7.8	 0.9	 1726.1	 8.6	S4G	Simbad	NED	LEDA
      98	 	UGC00882  	020.23115	+06.57411	 47.3	 -86.8	 0.483	15.168	 0.005	15.578	 0.011	 2.613	 2.611	-17.401	-16.991	 9.074	       	      	 9.8	 1.0	 2330.3	 6.2	S4G	Simbad	NED	LEDA
      99	 	UGC00891  	020.32950	+12.41167	 64.7	  48.5	 0.601	14.927	 0.003	15.341	 0.005	 2.539	 2.511	-14.938	-14.525	 8.091	  9.400	      	 9.0	 0.9	  642.8	 3.3	S4G	Simbad	NED	LEDA
     100	 	UGC00903  	020.44926	+17.59260	 57.3	  50.9	 0.547	11.703	 0.001	12.032	 0.001	 2.980	 2.976	-21.327	-20.998	10.584	 40.367	 8.795	 4.0	 1.3	 2513.2	 5.2	S4G	Simbad	NED	LEDA
     101	 	UGC00941  	020.88474	+06.96042	 31.7	  76.2	 0.306	15.439	 0.103	15.926	 0.005	 2.882	 2.920	-17.474	-16.986	 9.160	       	      	 9.9	 0.4	 2727.8	 4.3	S4G	Simbad	NED	LEDA
     102	 	UGC00958  	021.14255	+16.53699	 43.2	  26.1	 0.779	15.531	 0.001	15.817	 0.001	 2.794	 2.762	-17.153	-16.867	 8.883	 34.417	 2.518	 5.7	 0.6	 2415.2	 4.6	S4G	Simbad	NED	LEDA
     103	 	UGC00964  	021.14561	+07.72110	 37.0	  89.1	 0.680	14.500	 0.002	14.877	 0.001	 2.850	 2.788	-19.587	-19.209	 9.924	 65.667	24.513	 3.0	 2.0	 2735.1	 7.5	S4G	Simbad	NED	LEDA
     104	 	UGC01014  	021.59821	+06.27779	 34.2	  32.4	 0.103	14.843	 0.010	15.396	 0.007	 2.487	 2.530	-17.527	-16.973	 9.230	       	      	 9.3	 0.6	 2132.0	 7.1	S4G	Simbad	NED	LEDA
     105	 	UGC01020  	021.68326	+17.26448	 46.6	  61.8	 0.418	13.806	 0.001	14.204	 0.011	 4.057	 3.760	-19.034	-18.637	 9.718	       	      	 2.1	 3.1	 2589.0	 7.4	S4G	Simbad	NED	LEDA
     106	 	UGC01104  	023.17717	+18.31708	 50.5	  -0.3	 0.474	14.314	 0.027	14.740	 0.006	 3.007	 3.087	-15.075	-14.650	 8.155	  7.550	      	 9.5	 2.0	  684.5	 4.4	S4G	Simbad	NED	LEDA
     107	 	UGC01110  	023.32382	+13.33248	 59.5	  -6.5	 0.707	14.384	 0.001	14.773	 0.007	 2.655	 2.694	-18.415	-18.027	 9.464	 36.300	 2.287	 5.9	 0.5	 2765.7	 4.2	S4G	Simbad	NED	LEDA
     108	 	UGC01112  	023.32859	+03.07033	 42.8	 -72.2	 0.546	14.610	 0.009	15.043	 0.003	 2.773	 2.744	-17.443	-17.010	 9.108	 25.750	 0.495	 5.8	 0.5	 1710.0	 6.3	S4G	Simbad	NED	LEDA
     109	 	UGC01133  	023.76142	+04.38126	 30.0	 -50.4	 0.163	15.871	 0.005	16.165	 0.022	 2.944	 2.951	-16.136	-15.842	 8.482	 25.200	      	 9.9	 0.4	 1964.1	 5.1	S4G	Simbad	NED	LEDA
     110	 	UGC01176  	025.04055	+15.90470	 62.2	  40.8	 0.276	14.425	 0.065	14.742	 0.002	 2.523	 2.601	-15.387	-15.070	 8.199	  9.170	 0.184	 9.9	 0.4	  631.4	 2.8	S4G	Simbad	NED	LEDA
     111	 	UGC01195  	025.61296	+13.97781	111.8	  47.8	 0.761	13.633	 0.007	14.097	 0.004	 3.041	 3.016	-16.534	-16.070	 8.767	 10.800	      	 9.8	 0.7	  773.5	 3.5	S4G	Simbad	NED	LEDA
     112	 	UGC01197  	025.63808	+18.30601	 56.8	  52.1	 0.728	14.983	 0.005	15.471	 0.009	 3.084	 3.117	-17.801	-17.314	 9.291	 36.050	 1.202	 9.8	 0.7	 2796.1	 4.6	S4G	Simbad	NED	LEDA
     113	 	UGC01200  	025.70123	+13.15599	 59.6	 -11.1	 0.450	13.883	 0.001	14.321	 0.002	 2.686	 2.674	-16.375	-15.937	 8.684	       	      	 9.9	 0.4	  809.2	 4.7	S4G	Simbad	NED	LEDA
     114	 	UGC01240  	026.58581	+04.26429	 31.1	  86.0	 0.617	15.411	 0.003	15.815	 0.004	 2.677	 2.677	-16.565	-16.160	 8.735	       	      	 7.9	 0.7	 1796.7	 6.2	S4G	Simbad	NED	LEDA
     115	 	UGC01500  	030.30082	+19.67498	 33.3	 -15.0	 0.564	15.000	 0.004	15.503	 0.002	 2.855	 2.853	-18.032	-17.529	 9.395	 40.400	 1.556	 5.9	 0.4	 2433.0	 8.3	S4G	Simbad	NED	LEDA
     116	 	UGC12791  	357.20536	+26.22086	 55.9	  81.8	 0.705	15.350	 0.033	15.755	 0.017	 2.615	 2.558	-15.203	-14.798	 8.190	 12.900	      	 9.9	 0.4	  790.5	 3.4	S4G	Simbad	NED	LEDA
     117	 	NGC4701   	192.29830	+03.38872	 71.4	  56.3	 0.171	12.233	 0.001	12.641	 0.002	 3.359	 3.469	-19.654	-19.246	 9.974	 23.843	 6.093	 5.9	 0.5	  722.8	 8.4	S4G	Simbad	NED	LEDA
     118	 	NGC4707   	192.09555	+51.16590	 68.1	  -0.6	 0.159	14.736	 0.005	15.511	 0.002	 1.929	 1.803	-14.779	-14.004	 8.295	  8.000	      	 8.8	 0.5	  467.2	 5.5	S4G	Simbad	NED	LEDA
     119	 	NGC4710   	192.41194	+15.16582	176.5	  29.2	 0.604	10.249	 0.001	10.708	 0.001	 4.114	 3.811	-20.878	-20.418	10.501	 16.800	      	-0.9	 0.8	 1100.0	 5.5	S4G	Simbad	NED	LEDA
     120	 	NGC4713   	192.49120	+05.31136	 83.0	 -80.3	 0.244	11.803	 0.002	12.235	 0.003	 2.627	 2.677	-19.267	-18.835	 9.836	 16.367	 2.399	 6.8	 0.5	  652.7	 2.9	S4G	Simbad	NED	LEDA
     121	 	NGC4722   	192.88486	-13.32998	 69.7	  33.0	 0.565	12.080	 0.001	12.564	 0.001	 3.897	 3.753	-19.205	-18.721	 9.850	       	      	 0.0	 0.6	 1312.0	 9.4	S4G	Simbad	NED	LEDA
     122	 	NGC4723   	192.76245	-13.23633	 41.0	  78.7	 0.181	14.977	 0.031	15.745	 0.017	 3.090	 3.067	-16.295	-15.527	 8.896	       	      	 8.8	 1.1	 1302.0	 5.5	S4G	Simbad	NED	LEDA
     123	 	NGC4725   	192.61073	+25.50070	346.4	  30.5	 0.295	 8.912	 0.001	 9.407	 0.001	 4.342	 4.100	-21.762	-21.267	10.881	 13.637	 2.778	 2.2	 0.6	 1208.5	 2.7	S4G	Simbad	NED	LEDA
     124	 	NGC4731   	192.75510	-06.39352	203.1	  84.4	 0.579	11.630	 0.002	12.053	 0.002	 3.110	 3.093	-19.847	-19.424	10.062	 19.750	 8.697	 5.9	 0.5	 1492.2	 3.1	S4G	Simbad	NED	LEDA
     125	A	NGC4733   	192.77823	+10.91211	 94.9	 -78.5	 0.087	11.692	 0.001	12.209	 0.001	 3.612	 3.542	-19.452	-18.935	 9.973	 16.933	 1.762	-3.8	 0.9	       	    	S4G	Simbad	NED	LEDA
     126	 	NGC4736   	192.72100	+41.12021	570.4	 -63.7	 0.209	 7.610	 0.005	 8.063	 0.005	 7.809	 5.397	-20.939	-20.486	10.521	  5.126	 0.825	 2.4	 0.7	  309.0	 4.4	S4G	Simbad	NED	LEDA
     127	 	NGC4746   	192.98060	+12.08268	 68.0	 -60.5	 0.574	11.783	 0.001	12.164	 0.001	 2.866	 2.886	-20.792	-20.412	10.408	 32.743	 5.471	 3.1	 0.5	 1780.3	 3.1	S4G	Simbad	NED	LEDA
     128	 	NGC4747   	192.94014	+25.77522	143.3	  37.2	 0.626	12.095	 0.002	12.512	 0.002	 3.421	 3.271	-18.355	-17.937	 9.461	 12.300	      	 7.1	 1.8	 1195.0	 3.7	S4G	Simbad	NED	LEDA
     129	 	NGC4749   	192.80158	+71.63539	 61.3	 -22.4	 0.600	11.826	 0.001	12.194	 0.001	 3.073	 2.963	-20.529	-20.161	10.294	 29.575	 1.846	 3.0	 0.5	 1689.0	 8.5	S4G	Simbad	NED	LEDA
     130	 	NGC4750   	192.53045	+72.87463	117.4	 -10.8	 0.232	10.663	 0.001	11.137	 0.001	 3.126	 3.248	-21.420	-20.946	10.729	 26.100	      	 2.4	 0.6	 1622.2	 4.6	S4G	Simbad	NED	LEDA
     131	 	NGC4753   	193.09196	-01.19955	306.9	  79.2	 0.457	 9.261	 0.001	 9.761	 0.001	 5.893	 4.855	-21.875	-21.375	10.930	 16.869	 4.651	-1.2	 1.2	 1169.0	 8.5	S4G	Simbad	NED	LEDA
     132	 	NGC4754   	193.07296	+11.31387	181.6	  22.3	 0.466	10.110	 0.001	10.650	 0.001	 7.173	 5.191	-21.076	-20.536	10.640	 17.264	 1.534	-2.4	 1.1	       	    	S4G	Simbad	NED	LEDA
     133	 	NGC4758   	193.18337	+15.84861	132.1	 -21.0	 0.768	12.535	 0.001	12.946	 0.001	 3.312	 3.237	-18.431	-18.019	 9.487	 15.600	 2.193	 9.1	 2.2	 1241.6	 4.0	S4G	Simbad	NED	LEDA
     134	 	NGC4762   	193.23331	+11.23097	189.0	  26.0	 0.686	10.116	 0.001	10.632	 0.001	 4.774	 4.267	-21.641	-21.125	10.848	 22.460	 3.836	-1.8	 1.0	  985.0	20.5	S4G	Simbad	NED	LEDA
     135	 	NGC4765   	193.31058	+04.46325	 52.0	  54.3	 0.305	13.038	 0.002	13.432	 0.003	 3.384	 3.358	-18.593	-18.200	 9.538	 21.200	      	 0.0	 0.5	  723.5	 5.2	S4G	Simbad	NED	LEDA
     136	 	NGC4771   	193.33866	+01.26944	125.6	 -46.9	 0.715	11.576	 0.001	12.008	 0.001	 2.586	 2.576	-19.903	-19.471	10.091	 19.762	 1.899	 6.2	 1.0	 1133.1	 4.1	S4G	Simbad	NED	LEDA
     137	 	NGC4941   	196.05461	-05.55156	137.6	  22.1	 0.226	10.718	 0.001	11.138	 0.001	 4.678	 4.529	-20.585	-20.165	10.355	 18.220	 6.669	 2.1	 0.6	 1113.3	 4.9	S4G	Simbad	NED	LEDA
     138	 	NGC4942   	196.07962	-07.64954	 56.3	 -33.5	 0.184	13.168	 0.001	13.623	 0.001	 2.711	 2.742	-19.395	-18.941	 9.905	 32.560	 3.331	 6.9	 0.5	 1746.2	 6.9	S4G	Simbad	NED	LEDA
     139	 	NGC4948   	196.23358	-07.94815	 86.7	 -38.6	 0.554	12.896	 0.001	13.354	 0.001	 2.860	 2.923	-18.816	-18.358	 9.676	 22.000	      	 7.3	 2.0	 1330.0	 5.5	S4G	Simbad	NED	LEDA
     140	 	NGC4948A  	196.27437	-08.16159	 51.1	  21.7	 0.152	13.789	 0.005	14.217	 0.002	 2.743	 2.751	-18.302	-17.875	 9.447	 26.200	      	 7.7	 0.9	 1539.0	 7.9	S4G	Simbad	NED	LEDA
     141	 	NGC4951   	196.28211	-06.49384	123.3	  89.6	 0.571	11.486	 0.001	11.907	 0.001	 4.193	 4.032	-19.615	-19.194	 9.968	 16.600	 3.753	 6.0	 0.3	 1178.1	 3.6	S4G	Simbad	NED	LEDA
     142	 	NGC4958   	196.45374	-08.02021	209.0	   8.3	 0.691	10.200	 0.001	10.702	 0.001	 5.345	 4.484	-21.132	-20.630	10.635	 18.467	 4.654	-1.9	 1.0	 1112.0	 5.5	S4G	Simbad	NED	LEDA
     143	 	NGC4961   	196.44829	+27.73424	 47.9	 -83.4	 0.319	13.233	 0.001	13.607	 0.013	 3.250	 3.236	-20.042	-19.668	10.103	 45.186	10.410	 5.6	 0.8	 2534.1	 3.9	S4G	Simbad	NED	LEDA
     144	 	NGC4965   	196.78894	-28.22822	 92.4	 -32.0	 0.174	12.414	 0.001	12.786	 0.001	 2.737	 2.778	-20.727	-20.355	10.375	 42.480	 7.234	 6.7	 0.9	 2263.5	 5.7	S4G	Simbad	NED	LEDA
     145	 	NGC4772   	193.37160	+02.16834	160.2	 -31.8	 0.457	10.961	 0.001	11.439	 0.003	 5.881	 4.837	-21.459	-20.981	10.747	 30.475	10.793	 1.2	 0.7	 1039.9	 4.3	S4G	Simbad	NED	LEDA
     146	 	NGC0584   	022.83627	-06.86796	149.4	  79.6	 0.164	10.033	 0.001	10.562	 0.001	 6.368	 4.929	-21.464	-20.936	10.787	 19.930	 2.273	-4.7	 0.9	 1796.0	11.5	S4G	Simbad	NED	LEDA
     147	 	NGC0600   	023.27190	-07.31164	 95.1	  13.6	 0.223	12.609	 0.001	13.024	 0.002	 3.135	 3.218	-19.190	-18.775	 9.793	 22.900	      	 7.0	 0.4	 1842.4	 3.8	S4G	Simbad	NED	LEDA
     148	 	NGC0613   	023.57571	-29.41857	196.7	 -50.1	 0.226	 9.517	 0.001	 9.900	 0.001	 4.654	 4.413	-22.483	-22.101	11.087	 25.125	 5.328	 4.0	 0.2	 1479.6	 4.5	S4G	Simbad	NED	LEDA
     149	 	NGC0615   	023.77362	-07.34030	101.7	 -19.7	 0.472	11.203	 0.001	11.664	 0.001	 5.451	 4.555	-20.965	-20.505	10.537	 27.142	 2.761	 3.0	 0.4	 1856.8	 4.0	S4G	Simbad	NED	LEDA
     150	 	NGC0625   	023.76455	-41.43722	246.2	 -86.5	 0.661	11.295	 0.001	11.724	 0.001	 3.298	 3.227	-16.608	-16.179	 8.770	  3.807	 0.555	 9.0	 1.5	  395.5	 4.0	S4G	Simbad	NED	LEDA
     151	 	NGC0628   	024.17387	+15.78363	346.3	 -62.0	 0.160	 9.074	 0.001	 9.337	 0.002	 3.164	 3.175	-20.716	-20.453	10.291	  9.078	 1.115	 5.2	 0.5	  656.2	 2.3	S4G	Simbad	NED	LEDA
     152	 	NGC0658   	025.54018	+12.60183	 87.4	  27.6	 0.461	12.222	 0.001	12.585	 0.001	 3.672	 3.599	-20.725	-20.361	10.369	 38.833	 4.408	 3.0	 0.8	 2987.8	 5.4	S4G	Simbad	NED	LEDA
     153	 	NGC0660   	025.75969	+13.64581	240.9	   3.6	 0.610	 9.570	 0.001	 9.881	 0.001	 7.537	 5.460	-21.074	-20.763	10.470	 13.450	 1.240	 1.3	 1.2	  850.5	 3.5	S4G	Simbad	NED	LEDA
     154	 	NGC0672   	026.97699	+27.43276	210.6	  68.4	 0.545	11.037	 0.001	11.431	 0.001	 2.819	 2.850	-18.478	-18.085	 9.493	  8.000	 1.147	 6.0	 0.3	  428.3	 2.8	S4G	Simbad	NED	LEDA
     155	 	NGC0676   	027.23862	+05.90604	125.6	  -9.0	 0.662	10.611	 0.001	10.979	 0.001	 5.988	 4.597	-20.839	-20.471	10.418	 19.500	      	 0.0	 0.7	 1506.1	 5.6	S4G	Simbad	NED	LEDA
     156	 	NGC0678   	027.35347	+21.99726	164.2	  76.3	 0.747	11.168	 0.001	11.651	 0.001	 6.216	 4.968	-21.059	-20.575	10.591	 27.875	 4.023	 3.0	 0.4	 2861.3	 6.0	S4G	Simbad	NED	LEDA
     157	 	NGC0680   	027.44703	+21.97086	 82.6	 -17.2	 0.033	11.279	 0.001	11.763	 0.001	 7.345	 5.147	-21.432	-20.948	10.741	 34.850	 4.074	-4.1	 0.7	 2779.0	 6.2	S4G	Simbad	NED	LEDA
     158	 	NGC0681   	027.29501	-10.42634	129.2	  64.1	 0.338	11.121	 0.002	11.577	 0.001	 4.340	 4.069	-21.511	-21.055	10.752	 33.600	17.112	 2.0	 0.7	 1757.4	 4.1	S4G	Simbad	NED	LEDA
     159	 	NGC0685   	026.92841	-52.76198	132.8	 -78.6	 0.237	11.555	 0.001	11.962	 0.001	 2.650	 2.692	-19.354	-18.947	 9.853	 15.200	      	 5.4	 0.6	 1359.5	 4.6	S4G	Simbad	NED	LEDA
     160	 	NGC0691   	027.67377	+21.75999	110.9	 -86.3	 0.249	11.401	 0.001	11.899	 0.001	 3.568	 3.484	-21.436	-20.937	10.754	 36.922	 2.535	 4.0	 0.2	 2663.3	 3.0	S4G	Simbad	NED	LEDA
     161	 	NGC0693   	027.62848	+06.14531	102.6	 -72.0	 0.622	11.694	 0.001	12.059	 0.001	 3.584	 3.401	-19.891	-19.526	10.036	 20.750	 0.071	 0.2	 0.8	 1562.9	 4.7	S4G	Simbad	NED	LEDA
     162	 	NGC0701   	027.76531	-09.70290	 83.1	  44.6	 0.416	11.573	 0.001	11.928	 0.001	 3.339	 3.364	-20.208	-19.853	10.156	 22.711	 2.739	 5.0	 0.4	 1831.1	 4.3	S4G	Simbad	NED	LEDA
     163	 	NGC0718   	028.30534	+04.19576	 91.9	   4.4	 0.099	11.326	 0.001	11.789	 0.001	 7.054	 5.248	-20.326	-19.863	10.283	 21.400	      	 1.0	 0.3	 1718.0	 7.9	S4G	Simbad	NED	LEDA
     164	 	NGC0723   	028.44035	-23.75773	 47.0	 -32.5	 0.149	12.736	 0.002	13.134	 0.002	 2.392	 2.465	-18.611	-18.214	 9.549	       	      	 3.8	 0.9	 1486.3	 4.5	S4G	Simbad	NED	LEDA
     165	 	NGC0755   	029.09446	-09.06143	 92.7	  51.1	 0.665	12.584	 0.002	12.986	 0.002	 2.796	 2.814	-18.941	-18.539	 9.684	 20.185	 2.265	 3.4	 0.9	 1639.9	 3.1	S4G	Simbad	NED	LEDA
