Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 22412,HECATE v1.1 via VizieR,119.972795 23.390047,EST 10.0 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.86200000 / 444.04 million ly,Sa–Sb spiral; de Vaucouleurs T=2.5,0.480 × 0.232 arcmin,"8,746.0 km/s",DERIVED 62.0 × 30.0 thousand ly,14.665 — catalog band requires verification,65.255 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1983624,HECATE v1.1 via VizieR,150.310089 32.167118,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,16.47800000 / 312.33 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.129 × 0.087 arcmin,"6,500.5 km/s",DERIVED 11.7 × 7.9 thousand ly,17.665 — catalog band requires verification,60.851 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2153915,HECATE v1.1 via VizieR,146.067931 39.677836,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,16.05700000 / 576.29 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.2,0.176 × 0.091 arcmin,"12,681.2 km/s",DERIVED 29.5 × 15.3 thousand ly,17.248 — catalog band requires verification,61.456 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2545028,HECATE v1.1 via VizieR,158.600459 56.701847,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.59800000 / 602.27 million ly,Elliptical; de Vaucouleurs T=-5.0,0.137 × 0.095 arcmin,"13,241.2 km/s",DERIVED 24.0 × 16.6 thousand ly,17.307 — catalog band requires verification,61.241 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4097291,HECATE v1.1 via VizieR,168.852247 36.500641,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,16.55900000 / 346.99 million ly,Irregular; de Vaucouleurs T=9.1,0.181 × 0.165 arcmin,"7,375.0 km/s",DERIVED 18.3 × 16.7 thousand ly,17.543 — catalog band requires verification,61.181 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2197572,HECATE v1.1 via VizieR,155.305812 42.372290,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,16.10200000 / 592.53 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.7,0.177 × 0.081 arcmin,"13,001.2 km/s",DERIVED 30.5 × 14.0 thousand ly,17.536 — catalog band requires verification,61.172 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10759,HECATE v1.1 via VizieR,42.554000 18.351472,EST 9.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 300.42 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.429 × 0.126 arcmin,"6,416.0 km/s",DERIVED 37.5 × 11.0 thousand ly,15.661 — catalog band requires verification,62.055 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 37721,HECATE v1.1 via VizieR,179.719117 42.570369,EST 10.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.05800000 / 441.24 million ly,Sa–Sb spiral; de Vaucouleurs T=2.9,0.551 × 0.207 arcmin,"9,445.0 km/s",DERIVED 70.7 × 26.6 thousand ly,14.953 — catalog band requires verification,65.251 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 34973,HECATE v1.1 via VizieR,170.852162 33.829128,EST 10.9 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.54700000 / 479.40 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.290 × 0.290 arcmin,"10,322.2 km/s",DERIVED 40.4 × 40.4 thousand ly,15.429 — catalog band requires verification,63.731 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1692724,HECATE v1.1 via VizieR,32.342049 23.735000,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.08800000 / 370.82 million ly,Not available,0.182 × 0.089 arcmin,"8,093.0 km/s",DERIVED 19.6 × 9.6 thousand ly,17.850 — catalog band requires verification,58.878 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3466102,HECATE v1.1 via VizieR,157.057292 46.784089,EST 8.0 billion years — object-specific late-type stellar-population model; not a direct measurement,17.02200000 / 554.61 million ly,Irregular; de Vaucouleurs T=10.0,0.132 × 0.091 arcmin,"12,198.5 km/s",DERIVED 21.3 × 14.7 thousand ly,17.961 — catalog band requires verification,60.567 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 23769,HECATE v1.1 via VizieR,127.118660 41.856713,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,21.77700000 / 33.54 million ly,Irregular; de Vaucouleurs T=9.8,0.937 × 0.500 arcmin,395.5 km/s,DERIVED 9.1 × 4.9 thousand ly,15.169 — catalog band requires verification,66.579 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3128860,HECATE v1.1 via VizieR,119.623997 37.726179,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,16.69900000 / 544.64 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.106 × 0.084 arcmin,"12,074.3 km/s",DERIVED 16.8 × 13.3 thousand ly,18.465 — catalog band requires verification,60.424 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5796,HECATE v1.1 via VizieR,23.369208 44.941333,EST 9.8 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.41300000 / 231.34 million ly,Sa–Sb spiral; de Vaucouleurs T=1.1,0.301 × 0.192 arcmin,"5,006.0 km/s",DERIVED 20.3 × 12.9 thousand ly,15.384 — catalog band requires verification,63.820 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33450,HECATE v1.1 via VizieR,166.114263 45.128586,EST 9.6 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.70400000 / 321.41 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.310 × 0.123 arcmin,"6,597.9 km/s",DERIVED 29.0 × 11.5 thousand ly,15.485 — catalog band requires verification,63.755 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 166411,HECATE v1.1 via VizieR,27.370500 55.565083,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,13.83800000 / 44.20 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.171 × 0.116 arcmin,656.0 km/s,DERIVED 2.2 × 1.5 thousand ly,Not available,58.684 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2159528,HECATE v1.1 via VizieR,164.737767 40.033102,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,14.83500000 / 350.91 million ly,Scd–Sd spiral; de Vaucouleurs T=6.0,0.202 × 0.202 arcmin,"7,499.5 km/s",DERIVED 20.6 × 20.6 thousand ly,15.945 — catalog band requires verification,62.863 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2817,HECATE v1.1 via VizieR,12.009570 29.957374,EST 10.1 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.07600000 / 480.53 million ly,Lenticular / S0; de Vaucouleurs T=-2.2,0.348 × 0.277 arcmin,"10,495.5 km/s",DERIVED 48.6 × 38.7 thousand ly,15.356 — catalog band requires verification,64.036 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 166381,HECATE v1.1 via VizieR,2.141792 55.511333,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 237.45 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.401 × 0.310 arcmin,"5,079.4 km/s",DERIVED 27.7 × 21.4 thousand ly,16.170 — catalog band requires verification,61.434 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2076754,HECATE v1.1 via VizieR,27.690251 36.209083,EST 9.3 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 244.38 million ly,Not available,0.117 × 0.087 arcmin,"5,347.0 km/s",DERIVED 8.3 × 6.2 thousand ly,17.840 — catalog band requires verification,56.628 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1895333,HECATE v1.1 via VizieR,161.175321 30.227224,EST 10.0 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,15.78700000 / 452.38 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.151 × 0.117 arcmin,"9,767.5 km/s",DERIVED 19.9 × 15.4 thousand ly,17.292 — catalog band requires verification,61.312 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1809461,HECATE v1.1 via VizieR,141.319414 27.481562,EST 11.1 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.67100000 / 311.95 million ly,Elliptical; de Vaucouleurs T=-5.0,0.166 × 0.091 arcmin,"6,534.2 km/s",DERIVED 15.1 × 8.3 thousand ly,17.518 — catalog band requires verification,61.146 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1938511,HECATE v1.1 via VizieR,114.500628 31.249229,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,15.37500000 / 263.29 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.1,0.305 × 0.259 arcmin,"5,747.0 km/s",DERIVED 23.4 × 19.8 thousand ly,16.290 — catalog band requires verification,62.930 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2539015,HECATE v1.1 via VizieR,163.090518 56.508345,EST 8.6 billion years — object-specific spiral stellar-population model; not a direct measurement,15.79900000 / 608.30 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.9,0.184 × 0.119 arcmin,"13,555.8 km/s",DERIVED 32.6 × 21.1 thousand ly,17.301 — catalog band requires verification,61.435 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3087422,HECATE v1.1 via VizieR,30.207834 48.249750,EST 11.1 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,Not available / 347.00 million ly,Elliptical; de Vaucouleurs T=-4.0,0.465 × 0.316 arcmin,"7,395.0 km/s",DERIVED 46.9 × 31.9 thousand ly,15.750 — catalog band requires verification,62.110 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 13334,HECATE v1.1 via VizieR,54.218750 13.406639,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 365.84 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.0,0.629 × 0.173 arcmin,"9,078.0 km/s",DERIVED 66.9 × 18.4 thousand ly,16.500 — catalog band requires verification,62.016 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 29874,HECATE v1.1 via VizieR,153.623837 39.501590,EST 10.5 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.38100000 / 359.27 million ly,Lenticular / S0; de Vaucouleurs T=-2.1,0.396 × 0.318 arcmin,"7,001.0 km/s",DERIVED 41.4 × 33.2 thousand ly,15.426 — catalog band requires verification,64.158 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2152578,HECATE v1.1 via VizieR,145.768480 39.597598,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,15.02900000 / 540.71 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.5,0.243 × 0.136 arcmin,"11,927.3 km/s",DERIVED 38.2 × 21.4 thousand ly,16.732 — catalog band requires verification,62.240 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 213574,HECATE v1.1 via VizieR,137.017246 41.769515,EST 9.0 billion years — object-specific spiral stellar-population model; not a direct measurement,15.80400000 / 346.13 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.7,0.197 × 0.111 arcmin,"7,382.6 km/s",DERIVED 19.8 × 11.2 thousand ly,16.949 — catalog band requires verification,61.839 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4534835,HECATE v1.1 via VizieR,163.151860 47.906117,EST 10.5 billion years — object-specific early-spiral stellar-population model; not a direct measurement,16.62800000 / 391.82 million ly,Sa–Sb spiral; de Vaucouleurs T=2.9,0.166 × 0.128 arcmin,"8,322.0 km/s",DERIVED 18.9 × 14.6 thousand ly,17.598 — catalog band requires verification,61.066 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4088125,HECATE v1.1 via VizieR,137.828025 28.852506,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,17.04100000 / 468.05 million ly,Irregular; de Vaucouleurs T=10.0,0.200 × 0.035 arcmin,"10,199.9 km/s",DERIVED 27.2 × 4.8 thousand ly,18.057 — catalog band requires verification,60.800 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5074,HECATE v1.1 via VizieR,20.829450 33.277607,EST 10.6 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,Not available / 230.52 million ly,Lenticular / S0; de Vaucouleurs T=-1.0,0.338 × 0.239 arcmin,"5,034.0 km/s",DERIVED 22.7 × 16.0 thousand ly,14.765 — catalog band requires verification,62.587 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
