Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
CGCG461-7,HyperLEDA PGC,29.150833 16.899444,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.730 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1457706,HyperLEDA PGC,38.248750 14.423056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.440 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1840219,HECATE v1.1,37.600001 28.589194,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03576474 / 487.61 million ly,rG [SIMBAD classification],0.628 × 0.547 arcmin [catalog value; band/isophote may vary],"10,722.0 km/s",EST [89.1 × 77.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
NGC  1268,RC3,49.687083 41.488333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01042054 / 145.56 million ly,GiG [SIMBAD classification],0.980 arcmin [catalog value],"3,124.0 km/s",EST [41.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9815,HECATE v1.1,38.648166 29.957194,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01719490 / 233.39 million ly,AG? [SIMBAD classification],0.383 × 0.284 arcmin [catalog value; band/isophote may vary],"5,154.9 km/s",EST [26.0 × 19.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5807711,HECATE v1.1,37.647083 7.156389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01980704 / 267.88 million ly,Not available,Not available,"5,938.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1375909,HyperLEDA PGC,38.921667 10.189722,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04128189 / 576.64 million ly,G [SIMBAD classification],0.820 arcmin [catalog value],"12,120.8 km/s",EST [137.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1799205,HyperLEDA PGC,58.029583 27.150000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.360 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
NGC   451,RC3,19.052083 33.063889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01642803 / 229.47 million ly,GiG [SIMBAD classification],0.820 arcmin [catalog value],"4,925.0 km/s",EST [54.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10628,HECATE v1.1,42.148458 12.008611,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03458759 / 469.86 million ly,Sy2 [SIMBAD classification],0.555 × 0.470 arcmin [catalog value; band/isophote may vary],"10,369.1 km/s",EST [75.9 × 64.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741257,HECATE v1.1,33.479169 20.793889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04429731 / 597.07 million ly,Not available,Not available,"13,280.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1400915,HyperLEDA PGC,32.522500 11.922778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.490 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 100752,HECATE v1.1,48.664751 25.573361,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03223230 / 442.00 million ly,G [SIMBAD classification],0.337 × 0.209 arcmin [catalog value; band/isophote may vary],"9,663.0 km/s",EST [43.3 × 26.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,74% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1446128,HyperLEDA PGC,58.325417 13.986667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.580 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1480971,HyperLEDA PGC,49.352500 15.302778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC10294,RC3,40.775000 16.583333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02559771 / 357.56 million ly,GiP [SIMBAD classification],0.640 arcmin [catalog value],"7,674.0 km/s",EST [66.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 101403,HECATE v1.1,51.353100 37.440899,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02556102 / 352.96 million ly,G [SIMBAD classification],Not available,"7,663.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1524930,HyperLEDA PGC,53.338333 17.112778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.340 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC31098,RC3,157.975000 77.800000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",Not available / Not available,G [SIMBAD classification],1.120 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; SIMBAD; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6220,RC3,25.231667 49.234167,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",Not available / Not available,G [SIMBAD classification],1.000 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,RC3; SIMBAD; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC22418,RC3,119.977083 47.412778,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02228000 / 311.22 million ly,LSB [SIMBAD classification],1.140 arcmin [catalog value],"6,605.0 km/s",EST [103.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC24281,RC3,129.575000 69.033333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02223538 / 310.59 million ly,G [SIMBAD classification],0.980 arcmin [catalog value],"6,666.0 km/s",EST [88.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
